county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region,sizemeas,SelectionProb,SamplingWeight,Unit,JtProb_1,JtProb_2,JtProb_3,JtProb_4,JtProb_5,JtProb_6,JtProb_7,JtProb_8,JtProb_9,JtProb_10,JtProb_11,JtProb_12,JtProb_13,JtProb_14,JtProb_15
HARRISON COUNTY,IN,161745,184573,176196,1167,1297,1438,12,13,10,56,84,87,NC,184573,0.0028647081,349.0757041,1,0,7.8142757E-6,7.9834944E-6,8.3958373E-6,0.0000130255,0.0000141046,0.000021099,0.0000219995,0.0000415967,0.0000489397,0.000060556,0.0000645424,0.0000672868,0.0000680019,0.0000911211
ROCK ISLAND COUNTY,IL,175847,187254,173672,632,723,837,31,26,18,33,55,70,NC,187254,0.0029063192,344.07782976,2,7.8142757E-6,0,8.0994844E-6,8.5178181E-6,0.0000132147,0.0000143095,0.0000214056,0.0000223191,0.0000422011,0.0000496507,0.0000614358,0.0000654801,0.0000682644,0.0000689898,0.000092445
WAYNE COUNTY,NY,174627,191309,210191,919,1064,1232,27,29,25,46,61,80,NE,191309,0.0029692558,336.78473011,3,7.9834944E-6,8.0994844E-6,0,8.7023151E-6,0.0000135009,0.0000146195,0.0000218692,0.0000228025,0.0000431152,0.0000507262,0.0000627665,0.0000668984,0.000069743,0.0000704842,0.0000944474
ALLEN COUNTY,OH,194022,201190,197256,978,1148,1202,20,13,5,87,93,82,NC,201190,0.0031226161,320.2442961,4,8.3958373E-6,8.5178181E-6,8.7023151E-6,0,0.0000141984,0.0000153748,0.000022999,0.0000239806,0.0000453426,0.0000533468,0.0000660092,0.0000703545,0.0000733461,0.0000741255,0.0000993268
TRAVERSE COUNTY,MN,310184,312130,330321,385,457,483,106,93,88,16,13,14,NC,312130,0.0048444861,206.42024135,5,0.0000130255,0.0000132147,0.0000135009,0.0000141984,0,0.0000238563,0.0000356865,0.0000372096,0.000070356,0.0000827758,0.0001024235,0.0001091659,0.0001138079,0.0001150172,0.0001541208
HARDIN COUNTY,IA,332358,337990,355823,986,1065,1208,56,36,42,90,115,132,NC,337990,0.0052458523,190.62679349,6,0.0000141046,0.0000143095,0.0000146195,0.0000153748,0.0000238563,0,0.0000386447,0.000040294,0.000076188,0.0000896373,0.0001109136,0.000118215,0.0001232417,0.0001245513,0.0001668963
YOLO COUNTY,CA,518907,505597,541930,912,1011,970,116,120,123,116,150,152,W,505597,0.0078472356,127.43341027,7,0.000021099,0.0000214056,0.0000218692,0.000022999,0.0000356865,0.0000386447,0,0.000060294,0.0001140042,0.0001341291,0.000165966,0.0001768914,0.0001844131,0.0001863728,0.0002497358
WILLIAMSON COUNTY,TX,545670,527175,515596,1829,1891,1850,116,101,74,111,108,79,S,527175,0.008182142,122.21738499,8,0.0000219995,0.0000223191,0.0000228025,0.0000239806,0.0000372096,0.000040294,0.000060294,0,0.0001188753,0.00013986,0.0001730572,0.0001844494,0.0001922926,0.0001943359,0.0002604063
KIOWA COUNTY,CO,878447,996785,910578,309,328,327,180,202,192,4,15,15,W,996785,0.0154708331,64.637760333,9,0.0000415967,0.0000422011,0.0000431152,0.0000453426,0.000070356,0.000076188,0.0001140042,0.0001188753,0,0.0002648339,0.000327695,0.0003492668,0.0003641183,0.0003679876,0.0004930961
WASCO COUNTY,OR,1152965,1172745,993972,456,487,502,124,134,126,46,48,36,W,1172745,0.0182018611,54.939436905,10,0.0000489397,0.0000496507,0.0000507262,0.0000533468,0.0000827758,0.0000896373,0.0001341291,0.00013986,0.0002648339,0,0.0003858357,0.0004112349,0.0004287214,0.0004332772,0.0005805829
UMATILLA COUNTY,OR,1466580,1451108,1407279,1441,1453,1441,300,322,290,330,327,330,W,1451108,0.0225222587,44.400520108,11,0.000060556,0.0000614358,0.0000627665,0.0000660092,0.0001024235,0.0001109136,0.000165966,0.0001730572,0.000327695,0.0003858357,0,0.0005095951,0.0005312642,0.0005369096,0.0007194482
WESTON COUNTY,WY,1484583,1546633,1488005,231,235,226,148,161,155,7,19,14,W,1546633,0.0240048766,41.658202,12,0.0000645424,0.0000654801,0.0000668984,0.0000703545,0.0001091659,0.000118215,0.0001768914,0.0001844494,0.0003492668,0.0004112349,0.0005095951,0,0.0005665948,0.0005726157,0.0007672937
YAKIMA COUNTY,WA,1639965,1612399,1714809,3651,4239,4581,94,87,92,829,908,1044,W,1612399,0.0250256131,39.95906096,13,0.0000672868,0.0000682644,0.000069743,0.0000733461,0.0001138079,0.0001232417,0.0001844131,0.0001922926,0.0003641183,0.0004287214,0.0005312642,0.0005665948,0,0.000597249,0.0008003019
CARTER COUNTY,MT,1619482,1629533,1696443,308,353,335,242,262,260,12,36,27,W,1629533,0.0252915453,39.538904664,14,0.0000680019,0.0000689898,0.0000704842,0.0000741255,0.0001150172,0.0001245513,0.0001863728,0.0001943359,0.0003679876,0.0004332772,0.0005369096,0.0005726157,0.000597249,0,0.0008089124
CUSTER COUNTY,MT,2085181,2183542,2324856,380,397,382,167,190,195,23,45,40,W,2183542,0.0338901707,29.507080667,15,0.0000911211,0.000092445,0.0000944474,0.0000993268,0.0001541208,0.0001668963,0.0002497358,0.0002604063,0.0004930961,0.0005805829,0.0007194482,0.0007672937,0.0008003019,0.0008089124,0
