finger,height,wt
11.3,65,15
11.9,66,15
11.3,64,15
11.6,65,15
11.4,65,15
11.8,67,15
12.1,69,15
11.2,61,15
11.5,67,15
11.2,65,15
11.1,63,15
11.7,67,15
11.9,66,15
11.3,63,15
11.5,65,15
12.3,67,15
11.7,64,15
10.5,61,15
11.3,65,15
11.6,67,15
10.6,62,15
11.2,65,15
10.7,60,15
11.2,61,15
11.9,69,15
12.6,69,15
10.7,60,15
11.2,65,15
11.5,65,15
11.4,66,15
10.8,64,15
10.6,63,15
11.8,69,15
12,66,15
11.4,66,15
12.3,69,15
10.9,64,15
11.1,63,15
11.3,64,15
11.5,69,15
11.4,63,15
12.2,66,15
11.6,67,15
11.1,66,15
12,67,15
12.1,70,15
12.1,66,15
11.9,67,15
12.1,67,15
12.7,67,15
11.8,67,15
11.6,64,15
10.6,62,15
11.3,65,15
11.9,71,15
11.9,63,15
12.2,69,15
11.4,66,15
11,66,15
11.5,64,15
11.1,61,15
12.6,71,15
11.3,65,15
11,65,15
11.7,64,15
11.1,61,15
10.8,62,15
10.7,62,15
12.1,67,15
11.6,66,15
11.6,64,15
10.7,63,15
12.4,70,15
12,66,15
12.2,69,15
11.6,69,15
12.4,70,15
11.4,64,15
10.5,62,15
11.4,62,15
11.3,67,15
12.3,67,15
11.7,66,15
10.9,64,15
12.1,69,15
12,69,15
11.8,66,15
11,66,15
11.8,65,15
11.3,63,15
11.8,68,15
11.1,65,15
10.7,65,15
11.5,62,15
11.6,68,15
11.8,66,15
10.5,64,15
10.6,62,15
11.7,69,15
11.5,65,15
11.7,65,15
11.2,62,15
11.5,65,15
11.8,63,15
10.7,67,15
12.7,70,15
12.2,68,15
10.9,66,15
11.5,65,15
11,64,15
11.7,65,15
11.9,70,15
13,66,15
11.6,68,15
11.6,66,15
12.3,67,15
10.5,65,15
11,64,15
11.8,65,15
12.3,68,15
11.6,66,15
11.6,66,15
12.1,66,15
11.5,64,15
12.7,66,15
11.3,66,15
12.1,67,15
11.2,66,15
10.9,64,15
12.4,70,15
12,68,15
11.3,68,15
11.5,65,15
12.2,69,15
10.9,63,15
11.9,67,15
12.5,67,15
11.4,64,15
12.7,69,15
10.7,63,15
10.8,63,15
10.9,64,15
11.3,66,15
11.7,68,15
11,63,15
11.5,67,15
11.2,65,15
11.6,66,15
11.7,71,15
10.7,62,15
12.2,68,15
12,67,15
12.5,69,15
11.4,66,15
11.9,66,15
10.9,64,15
11.5,63,15
11.3,64,15
10.9,63,15
11.2,61,15
10.9,62,15
11,62,15
12.1,67,15
10.8,63,15
11.2,63,15
12.7,68,15
11,64,15
11.6,67,15
12.4,69,15
11.2,63,15
12.2,69,15
12.1,68,15
12.2,66,15
11.1,61,15
12.1,65,15
11.1,62,15
10.6,63,15
12.1,66,15
12.1,65,15
12.3,64,15
11.4,63,15
11.8,64,15
12,68,15
12.7,69,15
12.5,68,15
12.4,66,15
11.1,62,15
11.9,69,15
11,65,15
11.1,65,15
11.6,66,15
11.7,66,15
11.8,68,15
11.5,68,15
12.2,67,15
11,68,15
11.5,65,15
12,65,15
11.8,63,15
10.8,62,15
