sample,i1,i2,i3,i4,xbars,ybars,bhat,tSRS,thatr
1,1,2,3,4,5,2.75,0.55,22,25.85
2,1,2,3,5,5.5,3.5,0.6363636,28,29.90909
3,1,2,3,6,5.25,3.5,0.6666667,28,31.33333
4,1,2,3,7,5.25,3.5,0.6666667,28,31.33333
5,1,2,3,8,4.75,3.75,0.7894737,30,37.10526
6,1,2,4,5,5.75,3.5,0.6086957,28,28.6087
7,1,2,4,6,5.5,3.5,0.6363636,28,29.90909
8,1,2,4,7,5.5,3.5,0.6363636,28,29.90909
9,1,2,4,8,5,3.75,0.75,30,35.25
10,1,2,5,6,6,4.25,0.7083333,34,33.29167
11,1,2,5,7,6,4.25,0.7083333,34,33.29167
12,1,2,5,8,5.5,4.5,0.8181818,36,38.45455
13,1,2,6,7,5.75,4.25,0.7391304,34,34.73913
14,1,2,6,8,5.25,4.5,0.8571429,36,40.28571
15,1,2,7,8,5.25,4.5,0.8571429,36,40.28571
16,1,3,4,5,5.75,4,0.6956522,32,32.69565
17,1,3,4,6,5.5,4,0.7272727,32,34.18182
18,1,3,4,7,5.5,4,0.7272727,32,34.18182
19,1,3,4,8,5,4.25,0.85,34,39.95
20,1,3,5,6,6,4.75,0.7916667,38,37.20833
21,1,3,5,7,6,4.75,0.7916667,38,37.20833
22,1,3,5,8,5.5,5,0.9090909,40,42.72727
23,1,3,6,7,5.75,4.75,0.826087,38,38.82609
24,1,3,6,8,5.25,5,0.952381,40,44.7619
25,1,3,7,8,5.25,5,0.952381,40,44.7619
26,1,4,5,6,6.25,4.75,0.76,38,35.72
27,1,4,5,7,6.25,4.75,0.76,38,35.72
28,1,4,5,8,5.75,5,0.8695652,40,40.86957
29,1,4,6,7,6,4.75,0.7916667,38,37.20833
30,1,4,6,8,5.5,5,0.9090909,40,42.72727
31,1,4,7,8,5.5,5,0.9090909,40,42.72727
32,1,5,6,7,6.5,5.5,0.8461538,44,39.76923
33,1,5,6,8,6,5.75,0.9583333,46,45.04167
34,1,5,7,8,6,5.75,0.9583333,46,45.04167
35,1,6,7,8,5.75,5.75,1,46,47
36,2,3,4,5,6,4.25,0.7083333,34,33.29167
37,2,3,4,6,5.75,4.25,0.7391304,34,34.73913
38,2,3,4,7,5.75,4.25,0.7391304,34,34.73913
39,2,3,4,8,5.25,4.5,0.8571429,36,40.28571
40,2,3,5,6,6.25,5,0.8,40,37.6
41,2,3,5,7,6.25,5,0.8,40,37.6
42,2,3,5,8,5.75,5.25,0.9130435,42,42.91304
43,2,3,6,7,6,5,0.8333333,40,39.16667
44,2,3,6,8,5.5,5.25,0.9545455,42,44.86364
45,2,3,7,8,5.5,5.25,0.9545455,42,44.86364
46,2,4,5,6,6.5,5,0.7692308,40,36.15385
47,2,4,5,7,6.5,5,0.7692308,40,36.15385
48,2,4,5,8,6,5.25,0.875,42,41.125
49,2,4,6,7,6.25,5,0.8,40,37.6
50,2,4,6,8,5.75,5.25,0.9130435,42,42.91304
51,2,4,7,8,5.75,5.25,0.9130435,42,42.91304
52,2,5,6,7,6.75,5.75,0.8518519,46,40.03704
53,2,5,6,8,6.25,6,0.96,48,45.12
54,2,5,7,8,6.25,6,0.96,48,45.12
55,2,6,7,8,6,6,1,48,47
56,3,4,5,6,6.5,5.5,0.8461538,44,39.76923
57,3,4,5,7,6.5,5.5,0.8461538,44,39.76923
58,3,4,5,8,6,5.75,0.9583333,46,45.04167
59,3,4,6,7,6.25,5.5,0.88,44,41.36
60,3,4,6,8,5.75,5.75,1,46,47
61,3,4,7,8,5.75,5.75,1,46,47
62,3,5,6,7,6.75,6.25,0.9259259,50,43.51852
63,3,5,6,8,6.25,6.5,1.04,52,48.88
64,3,5,7,8,6.25,6.5,1.04,52,48.88
65,3,6,7,8,6,6.5,1.0833333,52,50.91667
66,4,5,6,7,7,6.25,0.8928571,50,41.96429
67,4,5,6,8,6.5,6.5,1,52,47
68,4,5,7,8,6.5,6.5,1,52,47
69,4,6,7,8,6.25,6.5,1.04,52,48.88
70,5,6,7,8,6.75,7.25,1.0740741,58,50.48148

average,,,,,5.875,5,0.847885711,40,39.85062843
