account,bookvalue,psi,auditvalue
3,6842,0.0111647,6842
9,16350,0.0266798,16350
9,16350,0.0266798,16350
13,3935,0.0064211,3935
24,7090,0.0115694,7050
29,5533,0.0090287,5533
34,2163,0.0035296,2163
36,2399,0.0039147,2149
43,8941,0.0145898,8941
44,3716,0.0060637,3716
45,8663,0.0141362,8663
46,69540,0.1134747,69000
46,69540,0.1134747,69000
46,69540,0.1134747,69000
49,6881,0.0112283,6881
55,70100,0.1143885,70100
55,70100,0.1143885,70100
55,70100,0.1143885,70100
56,6467,0.0105528,6467
61,21000,0.0342676,21000
70,3847,0.0062775,3847
74,2422,0.0039522,2422
75,2291,0.0037384,2191
79,4667,0.0076156,4667
81,31257,0.0510049,31257
