shelf,Mi,booknumber,purchase,replace
2,26,3,1,13
2,26,5,1,13
2,26,6,1,3
2,26,18,8,8
2,26,19,7,11
4,52,2,1,6
4,52,15,4,7
4,52,25,8,8
4,52,36,5,5
4,52,37,5,5
11,70,19,1,10
11,70,45,3,6
11,70,48,1,16
11,70,56,1,5
11,70,65,1,9
14,47,8,1,6
14,47,9,1,6
14,47,16,1,6
14,47,40,10,10
14,47,44,8,8
20,5,1,8,8
20,5,2,5,7
20,5,3,2,5
20,5,4,53,68
20,5,5,45,121
22,28,1,10,16
22,28,3,7,7
22,28,7,4,7
22,28,14,45,60
22,28,27,48,59
23,27,5,14,72
23,27,14,73,73
23,27,16,16,57
23,27,19,49,49
23,27,26,5,8
31,29,10,32,52
31,29,14,58,90
31,29,16,45,50
31,29,19,16,44
31,29,23,55,70
37,21,8,30,53
37,21,16,35,60
37,21,17,23,50
37,21,18,37,59
37,21,21,16,30
38,31,5,19,19
38,31,9,3,5
38,31,17,0,65
38,31,20,28,41
38,31,27,0,53
40,14,5,52,65
40,14,6,0,79
40,14,7,51,53
40,14,8,60,60
40,14,14,14,14
43,27,4,5,6
43,27,6,1,4
43,27,12,1,10
43,27,16,1,7
43,27,24,3,6
