state,population
 Alabama,2348174
 Arizona,334162
 Arkansas,1752204
 California,3426861
 Colorado,939629
 Connecticut,1380631
 Delaware,223003
 Florida,968470
 Georgia,2895832
 Idaho,431866
 Illinois,6485280
 Indiana,2930390
 Iowa,2404021
 Kansas,1769257
 Kentucky,2416630
 Louisiana,1798509
 Maine,768014
 Maryland,1449661
 Massachusetts,3852356
 Michigan,3668412
 Minnesota,2387125
 Mississippi,1790618
 Missouri,3404055
 Montana,548889
 Nebraska,1296372
 Nevada,77407
 New Hampshire,443083
 New Jersey,3155900
 New Mexico,360350
 New York,10385227
 North Carolina,2559123
 North Dakota,646872
 Ohio,5759394
 Oklahoma,2028283
 Oregon,783389
 Pennsylvania,8720017
 Rhode Island,604397
 South Carolina,1683724
 South Dakota,636547
 Tennessee,2337885
 Texas,4663228
 Utah,449396
 Vermont,352428
 Virginia,2309187
 Washington,1356621
 West Virginia,1463701
 Wisconsin,2632067
 Wyoming,194402
