stratum,time,category,winner,popsize,sampsize,obtained,p1weight,p2weight,genre,historical,urban,authorgender,fdetect,mdetect,victims,firearm
1,1,Best First Novel,0,88,6,2,14.666666667,44,procedural,0,1,M,0,1,1,0
1,1,Best First Novel,0,88,6,2,14.666666667,44,suspense,0,0,M,0,4,8,1
4,1,Best First Novel,1,36,4,2,9,27,suspense,0,1,M,0,2,4,4
2,2,Best First Novel,0,78,6,2,13,39,suspense,1,0,M,0,1,2,1
5,2,Best First Novel,1,20,4,2,5,10,procedural,0,1,F,1,1,1,0
3,3,Best First Novel,0,85,6,2,14.166666667,28.333333333,suspense,0,0,M,0,1,7,7
3,3,Best First Novel,0,85,6,2,14.166666667,28.333333333,private eye,0,1,M,0,1,5,2
6,3,Best First Novel,1,20,4,2,5,10,suspense,0,1,M,0,1,1,1
7,1,Best Novel,0,91,6,2,15.166666667,45.5,private eye,0,1,M,0,1,2,0
10,1,Best Novel,1,27,4,2,6.75,20.25,suspense,0,1,M,0,1,3,2
8,2,Best Novel,0,81,6,2,13.5,33.75,suspense,0,1,F,1,0,3,3
8,2,Best Novel,0,81,6,2,13.5,33.75,suspense,0,0,M,0,1,4,0
9,3,Best Novel,0,89,6,2,14.833333333,29.666666667,suspense,0,1,F,1,1,1,1
4,1,Best First Novel,1,36,4,1,9,9,suspense,0,1,F,1,1,2,0
2,2,Best First Novel,0,78,6,1,13,13,private eye,1,1,M,0,1,7,4
2,2,Best First Novel,0,78,6,1,13,13,private eye,0,0,F,1,0,2,0
2,2,Best First Novel,0,78,6,1,13,13,suspense,1,1,F,0,1,4,0
5,2,Best First Novel,1,20,4,1,5,5,procedural,1,0,M,0,3,5,3
5,2,Best First Novel,1,20,4,1,5,5,private eye,0,0,M,0,1,2,2
3,3,Best First Novel,0,85,6,1,14.166666667,14.166666667,procedural,1,0,M,0,1,2,2
3,3,Best First Novel,0,85,6,1,14.166666667,14.166666667,private eye,0,0,F,1,0,2,2
6,3,Best First Novel,1,20,4,1,5,5,private eye,0,1,M,0,1,13,1
6,3,Best First Novel,1,20,4,1,5,5,suspense,1,0,F,2,1,2,1
7,1,Best Novel,0,91,6,1,15.166666667,15.166666667,suspense,1,1,M,0,4,4,1
7,1,Best Novel,0,91,6,1,15.166666667,15.166666667,private eye,0,0,M,0,1,1,1
7,1,Best Novel,0,91,6,1,15.166666667,15.166666667,procedural,0,1,M,0,1,1,0
10,1,Best Novel,1,27,4,1,6.75,6.75,suspense,1,0,M,1,2,10,0
8,2,Best Novel,0,81,6,1,13.5,13.5,suspense,0,0,F,0,1,1,0
11,2,Best Novel,1,20,4,1,5,5,procedural,0,0,F,0,1,1,0
11,2,Best Novel,1,20,4,1,5,5,procedural,0,0,M,0,1,3,0
11,2,Best Novel,1,20,4,1,5,5,procedural,0,0,M,0,1,1,0
11,2,Best Novel,1,20,4,1,5,5,suspense,0,1,F,1,0,3,3
9,3,Best Novel,0,89,6,1,14.833333333,14.833333333,procedural,0,0,M,0,1,4,2
9,3,Best Novel,0,89,6,1,14.833333333,14.833333333,suspense,1,1,M,1,1,8,5
9,3,Best Novel,0,89,6,1,14.833333333,14.833333333,suspense,1,1,F,1,0,1,0
9,3,Best Novel,0,89,6,1,14.833333333,14.833333333,suspense,1,0,M,0,2,4,0
12,3,Best Novel,1,20,4,1,5,5,suspense,1,1,M,0,1,7,0
12,3,Best Novel,1,20,4,1,5,5,suspense,0,0,M,0,1,2,1
12,3,Best Novel,1,20,4,1,5,5,suspense,0,0,M,0,2,4,1
12,3,Best Novel,1,20,4,1,5,5,suspense,1,1,M,0,1,17,15
1,1,Best First Novel,0,88,6,0,14.666666667,0,private eye,0,1,M,0,1,-9,-9
1,1,Best First Novel,0,88,6,0,14.666666667,0,suspense,0,1,M,0,1,-9,-9
1,1,Best First Novel,0,88,6,0,14.666666667,0,suspense,0,1,M,1,1,-9,-9
1,1,Best First Novel,0,88,6,0,14.666666667,0,suspense,0,1,M,0,1,-9,-9
4,1,Best First Novel,1,36,4,0,9,0,private eye,0,1,M,0,1,-9,-9
4,1,Best First Novel,1,36,4,0,9,0,suspense,0,1,M,0,1,-9,-9
2,2,Best First Novel,0,78,6,0,13,0,suspense,0,1,M,0,1,-9,-9
2,2,Best First Novel,0,78,6,0,13,0,suspense,0,1,M,1,0,-9,-9
5,2,Best First Novel,1,20,4,0,5,0,procedural,0,1,F,0,1,-9,-9
3,3,Best First Novel,0,85,6,0,14.166666667,0,suspense,0,1,F,1,0,-9,-9
3,3,Best First Novel,0,85,6,0,14.166666667,0,suspense,1,1,M,0,1,-9,-9
6,3,Best First Novel,1,20,4,0,5,0,suspense,0,1,F,0,1,-9,-9
7,1,Best Novel,0,91,6,0,15.166666667,0,procedural,0,0,F,0,1,-9,-9
7,1,Best Novel,0,91,6,0,15.166666667,0,suspense,0,1,M,0,1,-9,-9
10,1,Best Novel,1,27,4,0,6.75,0,suspense,0,0,M,0,1,-9,-9
10,1,Best Novel,1,27,4,0,6.75,0,suspense,0,1,M,0,1,-9,-9
8,2,Best Novel,0,81,6,0,13.5,0,suspense,0,0,M,0,1,-9,-9
8,2,Best Novel,0,81,6,0,13.5,0,suspense,0,1,F,0,1,-9,-9
8,2,Best Novel,0,81,6,0,13.5,0,private eye,0,1,F,1,0,-9,-9
9,3,Best Novel,0,89,6,0,14.833333333,0,private eye,1,1,F,0,1,-9,-9
